#feature_id	count
transcript1000	9.00
transcript1006	5.00
transcript1012	12.00
transcript1014	3.00
transcript1016	2.00
transcript102	26.00
transcript1020	2.00
transcript1022	2.00
transcript1025	24.00
transcript1027	2.00
transcript1029	11.00
transcript1032	4.00
transcript1034	18.00
transcript1039	2.00
transcript1041	88.00
transcript1046	15.00
transcript1048	14.00
transcript1056	3.00
transcript1058	73.00
transcript106	6.00
transcript1060	3.00
transcript1064	67.00
transcript1068	106.00
transcript1083	2.00
transcript1087	7.00
transcript1089	4.00
transcript1094	204.00
transcript1096	2.00
transcript1098	2.00
transcript1100	9.00
transcript1103	5.00
transcript1105	3.00
transcript1107	4.00
transcript1113	11.00
transcript112	102.00
transcript1124	164.00
transcript1130	39.00
transcript1137	8.00
transcript1142	2.00
transcript1144	2.00
transcript1147	3.00
transcript1149	10.00
transcript1152	5.00
transcript1155	2.00
transcript1157	4.00
transcript1160	2.00
transcript1163	31.00
transcript1165	4.00
transcript1170	5.00
transcript1172	6.00
transcript1175	3.00
transcript1177	42.00
transcript118	6.00
transcript1184	138.00
transcript1186	12.00
transcript1190	2.00
transcript1194	2.00
transcript1196	3.00
transcript1199	13.00
transcript12	3.00
transcript1203	4.00
transcript1205	5.00
transcript1223	2.00
transcript1227	2.00
transcript1229	6.00
transcript1231	5.00
transcript1234	5.00
transcript1236	4.00
transcript1239	2.00
transcript1242	4.00
transcript1244	68.00
transcript1246	3.00
transcript1248	2.00
transcript1250	7.00
transcript1256	142.00
transcript126	2.00
transcript1263	12.00
transcript1269	4.00
transcript1273	13.00
transcript128	3.00
transcript1281	91.00
transcript1283	3.00
transcript1285	4.00
transcript1294	7.00
transcript1301	50.00
transcript1303	5.00
transcript1306	5.00
transcript1310	46.00
transcript1312	3.00
transcript1314	10.00
transcript1316	5.00
transcript132	2.00
transcript1320	30.00
transcript1326	10.00
transcript1330	2.00
transcript1334	28.00
transcript1336	112.00
transcript1338	23.00
transcript1341	8.00
transcript1343	18.00
transcript1347	183.00
transcript135	59.00
transcript1358	5.00
transcript1360	16.00
transcript1362	68.00
transcript1364	41.00
transcript1366	58.00
transcript1368	13.00
transcript1371	2.00
transcript1377	7.00
transcript1379	3.00
transcript1381	6.00
transcript1383	14.00
transcript1387	3.00
transcript1391	9.00
transcript1394	3.00
transcript1396	2.00
transcript14	2.00
transcript1400	3.00
transcript1402	2.00
transcript1405	3.00
transcript1407	17.00
transcript141	42.00
transcript1410	18.00
transcript1412	8.00
transcript1415	2.00
transcript1417	8.00
transcript1424	5.00
transcript1426	5.00
transcript1431	3.00
transcript1436	2.00
transcript1440	3.00
transcript1447	3.00
transcript1449	3.00
transcript1451	93.00
transcript1454	7.00
transcript1457	2.00
transcript1462	9.00
transcript1468	3.00
transcript1473	18.00
transcript1475	2.00
transcript1477	3.00
transcript148	8.00
transcript1480	10.00
