#feature_id	count
novel_gene_19_1001	9.00
novel_gene_19_1007	5.00
novel_gene_19_1013	12.00
novel_gene_19_1015	3.00
novel_gene_19_1017	2.00
novel_gene_19_103	26.00
novel_gene_19_1033	45.00
novel_gene_19_1035	18.00
novel_gene_19_1040	2.00
novel_gene_19_1042	88.00
novel_gene_19_1047	15.00
novel_gene_19_1049	14.00
novel_gene_19_1059	73.00
novel_gene_19_1061	6.00
novel_gene_19_1065	67.00
novel_gene_19_1069	106.00
novel_gene_19_107	6.00
novel_gene_19_1084	2.00
novel_gene_19_1088	7.00
novel_gene_19_1090	4.00
novel_gene_19_1095	204.00
novel_gene_19_1097	2.00
novel_gene_19_1099	2.00
novel_gene_19_1101	9.00
novel_gene_19_1106	8.00
novel_gene_19_1108	4.00
novel_gene_19_1114	11.00
novel_gene_19_1125	164.00
novel_gene_19_113	102.00
novel_gene_19_1131	39.00
novel_gene_19_1138	8.00
novel_gene_19_1143	2.00
novel_gene_19_1145	2.00
novel_gene_19_1148	3.00
novel_gene_19_1150	10.00
novel_gene_19_1158	11.00
novel_gene_19_1164	31.00
novel_gene_19_1166	6.00
novel_gene_19_1171	5.00
novel_gene_19_1173	6.00
novel_gene_19_1178	45.00
novel_gene_19_1185	138.00
novel_gene_19_1187	12.00
novel_gene_19_119	6.00
novel_gene_19_1191	2.00
novel_gene_19_1195	2.00
novel_gene_19_1197	3.00
novel_gene_19_1200	13.00
novel_gene_19_1204	4.00
novel_gene_19_1206	5.00
novel_gene_19_1224	2.00
novel_gene_19_1228	2.00
novel_gene_19_1230	6.00
novel_gene_19_1232	5.00
novel_gene_19_1235	5.00
novel_gene_19_1237	4.00
novel_gene_19_1240	2.00
novel_gene_19_1243	4.00
novel_gene_19_1245	68.00
novel_gene_19_1247	3.00
novel_gene_19_1249	2.00
novel_gene_19_1251	7.00
novel_gene_19_1257	142.00
novel_gene_19_1264	12.00
novel_gene_19_127	2.00
novel_gene_19_1274	17.00
novel_gene_19_1282	91.00
novel_gene_19_1284	3.00
novel_gene_19_1286	4.00
novel_gene_19_129	3.00
novel_gene_19_1295	7.00
novel_gene_19_1302	50.00
novel_gene_19_1304	5.00
novel_gene_19_1307	5.00
novel_gene_19_1311	46.00
novel_gene_19_1313	3.00
novel_gene_19_1315	10.00
novel_gene_19_1317	5.00
novel_gene_19_1321	30.00
novel_gene_19_1327	10.00
novel_gene_19_133	2.00
novel_gene_19_1331	2.00
novel_gene_19_1339	163.00
novel_gene_19_1344	26.00
novel_gene_19_1348	183.00
novel_gene_19_1359	5.00
novel_gene_19_136	59.00
novel_gene_19_1361	16.00
novel_gene_19_1363	68.00
novel_gene_19_1365	41.00
novel_gene_19_1367	58.00
novel_gene_19_1369	13.00
novel_gene_19_1372	2.00
novel_gene_19_1378	7.00
novel_gene_19_1380	3.00
novel_gene_19_1382	6.00
novel_gene_19_1384	14.00
novel_gene_19_1388	3.00
novel_gene_19_1392	9.00
novel_gene_19_1397	5.00
novel_gene_19_1401	3.00
novel_gene_19_1403	2.00
novel_gene_19_1406	3.00
novel_gene_19_1408	17.00
novel_gene_19_1411	18.00
novel_gene_19_1413	8.00
novel_gene_19_1416	2.00
novel_gene_19_1418	8.00
novel_gene_19_142	42.00
novel_gene_19_1425	5.00
novel_gene_19_1427	5.00
novel_gene_19_1432	3.00
novel_gene_19_1437	2.00
novel_gene_19_1441	3.00
novel_gene_19_1448	3.00
novel_gene_19_1450	3.00
novel_gene_19_1452	93.00
novel_gene_19_1455	7.00
novel_gene_19_1458	2.00
novel_gene_19_1463	9.00
novel_gene_19_1476	23.00
novel_gene_19_1481	13.00
novel_gene_19_1483	4.00
novel_gene_19_1487	14.00
novel_gene_19_149	8.00
novel_gene_19_1491	2.00
novel_gene_19_1495	14.00
novel_gene_19_1497	7.00
novel_gene_19_15	2.00
novel_gene_19_1502	18.00
novel_gene_19_1507	5.00
novel_gene_19_1509	11.00
novel_gene_19_1515	117.00
novel_gene_19_1521	11.00
novel_gene_19_1523	9.00
novel_gene_19_1525	4.00
novel_gene_19_153	4.00
novel_gene_19_1537	10.00
novel_gene_19_1539	44.00
novel_gene_19_1552	23.00
novel_gene_19_1556	25.00
novel_gene_19_1561	6.00
novel_gene_19_1565	2.00
novel_gene_19_1568	6.00
novel_gene_19_157	2.00
novel_gene_19_1572	6.00
novel_gene_19_1578	4.00
novel_gene_19_1586	53.00
novel_gene_19_159	5.00
novel_gene_19_1592	12.00
novel_gene_19_1595	17.00
novel_gene_19_1603	93.00
novel_gene_19_1614	82.00
novel_gene_19_1624	29.00
novel_gene_19_1626	2.00
novel_gene_19_163	8.00
novel_gene_19_1632	32.00
novel_gene_19_1636	2.00
novel_gene_19_1641	9.00
novel_gene_19_1646	17.00
novel_gene_19_1649	7.00
novel_gene_19_165	12.00
novel_gene_19_1652	2.00
novel_gene_19_1656	2.00
novel_gene_19_1659	4.00
novel_gene_19_1662	7.00
novel_gene_19_1668	10.00
novel_gene_19_167	36.00
novel_gene_19_1673	3.00
novel_gene_19_1675	7.00
novel_gene_19_1678	2.00
novel_gene_19_1680	5.00
novel_gene_19_1689	26.00
novel_gene_19_1692	6.00
novel_gene_19_1694	13.00
novel_gene_19_1699	3.00
novel_gene_19_17	5.00
novel_gene_19_1704	112.00
novel_gene_19_1708	2.00
novel_gene_19_171	10.00
novel_gene_19_1711	2.00
novel_gene_19_176	43.00
novel_gene_19_180	7.00
novel_gene_19_183	9.00
novel_gene_19_186	2.00
novel_gene_19_188	22.00
novel_gene_19_192	114.00
novel_gene_19_195	8.00
novel_gene_19_197	5.00
novel_gene_19_20	5.00
novel_gene_19_200	37.00
novel_gene_19_203	12.00
novel_gene_19_205	8.00
novel_gene_19_209	4.00
novel_gene_19_211	3.00
novel_gene_19_213	7.00
novel_gene_19_216	5.00
novel_gene_19_219	4.00
novel_gene_19_222	48.00
novel_gene_19_224	2.00
novel_gene_19_229	4.00
novel_gene_19_233	2.00
novel_gene_19_237	5.00
novel_gene_19_239	4.00
novel_gene_19_243	13.00
novel_gene_19_250	15.00
novel_gene_19_257	4.00
novel_gene_19_259	2.00
novel_gene_19_263	3.00
novel_gene_19_265	27.00
novel_gene_19_27	2.00
novel_gene_19_271	26.00
novel_gene_19_276	7.00
novel_gene_19_279	6.00
novel_gene_19_284	18.00
novel_gene_19_287	2.00
novel_gene_19_290	11.00
novel_gene_19_294	11.00
novel_gene_19_296	4.00
novel_gene_19_298	2.00
novel_gene_19_3	7.00
novel_gene_19_300	3.00
novel_gene_19_304	13.00
novel_gene_19_306	2.00
novel_gene_19_308	2.00
novel_gene_19_310	2.00
novel_gene_19_312	4.00
novel_gene_19_315	9.00
novel_gene_19_317	3.00
novel_gene_19_319	17.00
novel_gene_19_323	53.00
novel_gene_19_327	7.00
novel_gene_19_332	4.00
novel_gene_19_335	10.00
novel_gene_19_340	4.00
novel_gene_19_342	8.00
novel_gene_19_354	13.00
novel_gene_19_358	511.00
novel_gene_19_377	20.00
novel_gene_19_381	6.00
novel_gene_19_384	200.00
novel_gene_19_389	4.00
novel_gene_19_394	2.00
novel_gene_19_397	2.00
novel_gene_19_399	3.00
novel_gene_19_40	21.00
novel_gene_19_401	4.00
novel_gene_19_406	6.00
novel_gene_19_409	3.00
novel_gene_19_411	2.00
novel_gene_19_414	44.00
novel_gene_19_416	3.00
novel_gene_19_419	37.00
novel_gene_19_42	8.00
novel_gene_19_421	86.00
novel_gene_19_424	23.00
novel_gene_19_427	2.00
novel_gene_19_430	6.00
novel_gene_19_437	39.00
novel_gene_19_439	19.00
novel_gene_19_441	3.00
novel_gene_19_445	51.00
novel_gene_19_448	2.00
novel_gene_19_45	3.00
novel_gene_19_450	18.00
novel_gene_19_474	260.00
novel_gene_19_476	9.00
novel_gene_19_48	13.00
novel_gene_19_497	277.00
novel_gene_19_5	57.00
novel_gene_19_511	29.00
novel_gene_19_518	72.00
novel_gene_19_525	257.00
novel_gene_19_53	24.00
novel_gene_19_533	5.00
novel_gene_19_537	67.00
novel_gene_19_540	5.00
novel_gene_19_543	16.00
novel_gene_19_546	3.00
novel_gene_19_549	4.00
novel_gene_19_55	5.00
novel_gene_19_553	3.00
novel_gene_19_559	7.00
novel_gene_19_562	16.00
novel_gene_19_564	6.00
novel_gene_19_567	7.00
novel_gene_19_57	8.00
novel_gene_19_570	3.00
novel_gene_19_572	10.00
novel_gene_19_575	4.00
novel_gene_19_577	2.00
novel_gene_19_579	12.00
novel_gene_19_581	11.00
novel_gene_19_583	27.00
novel_gene_19_585	7.00
novel_gene_19_587	2.00
novel_gene_19_590	10.00
novel_gene_19_592	27.00
novel_gene_19_595	4.00
