#feature_id	count
transcript1000.19.nnic	9.00
transcript1006.19.nnic	5.00
transcript1012.19.nnic	12.00
transcript1014.19.nnic	3.00
transcript1016.19.nnic	2.00
transcript102.19.nnic	26.00
transcript1020.19.nnic	2.00
transcript1022.19.nnic	2.00
transcript1025.19.nnic	24.00
transcript1027.19.nnic	2.00
transcript1029.19.nnic	11.00
transcript1032.19.nnic	4.00
transcript1034.19.nnic	18.00
transcript1039.19.nnic	2.00
transcript1041.19.nnic	88.00
transcript1046.19.nnic	15.00
transcript1048.19.nnic	14.00
transcript1056.19.nnic	3.00
transcript1058.19.nnic	73.00
transcript106.19.nnic	6.00
transcript1060.19.nnic	3.00
transcript1064.19.nnic	67.00
transcript1068.19.nnic	106.00
transcript1083.19.nnic	2.00
transcript1087.19.nnic	7.00
transcript1089.19.nnic	4.00
transcript1094.19.nnic	204.00
transcript1096.19.nnic	2.00
transcript1098.19.nnic	2.00
transcript1100.19.nnic	9.00
transcript1103.19.nnic	5.00
transcript1105.19.nnic	3.00
transcript1107.19.nnic	4.00
transcript1113.19.nnic	11.00
transcript112.19.nnic	102.00
transcript1124.19.nnic	164.00
transcript1130.19.nnic	39.00
transcript1137.19.nnic	8.00
transcript1142.19.nnic	2.00
transcript1144.19.nnic	2.00
transcript1147.19.nnic	3.00
transcript1149.19.nnic	10.00
transcript1152.19.nnic	5.00
transcript1155.19.nnic	2.00
transcript1157.19.nnic	4.00
transcript1160.19.nnic	2.00
transcript1163.19.nnic	31.00
transcript1165.19.nnic	4.00
transcript1170.19.nnic	5.00
transcript1172.19.nnic	6.00
transcript1175.19.nnic	3.00
transcript1177.19.nnic	42.00
transcript118.19.nnic	6.00
transcript1184.19.nnic	138.00
transcript1186.19.nnic	12.00
transcript1190.19.nnic	2.00
transcript1194.19.nnic	2.00
transcript1196.19.nnic	3.00
transcript1199.19.nnic	13.00
transcript12.19.nnic	3.00
transcript1203.19.nnic	4.00
transcript1205.19.nnic	5.00
transcript1223.19.nnic	2.00
transcript1227.19.nnic	2.00
transcript1229.19.nnic	6.00
transcript1231.19.nnic	5.00
transcript1234.19.nnic	5.00
transcript1236.19.nnic	4.00
transcript1239.19.nnic	2.00
transcript1242.19.nnic	4.00
transcript1244.19.nnic	68.00
transcript1246.19.nnic	3.00
transcript1248.19.nnic	2.00
transcript1250.19.nnic	7.00
transcript1256.19.nnic	142.00
transcript126.19.nnic	2.00
transcript1263.19.nnic	12.00
transcript1269.19.nnic	4.00
transcript1273.19.nnic	13.00
transcript128.19.nnic	3.00
transcript1281.19.nnic	91.00
transcript1283.19.nnic	3.00
transcript1285.19.nnic	4.00
transcript1294.19.nnic	7.00
transcript1301.19.nnic	50.00
transcript1303.19.nnic	5.00
transcript1306.19.nnic	5.00
transcript1310.19.nnic	46.00
transcript1312.19.nnic	3.00
transcript1314.19.nnic	10.00
transcript1316.19.nnic	5.00
transcript132.19.nnic	2.00
transcript1320.19.nnic	30.00
transcript1326.19.nnic	10.00
transcript1330.19.nnic	2.00
transcript1334.19.nnic	28.00
transcript1336.19.nnic	112.00
transcript1338.19.nnic	23.00
transcript1341.19.nnic	8.00
transcript1343.19.nnic	18.00
transcript1347.19.nnic	183.00
transcript135.19.nnic	59.00
transcript1358.19.nnic	5.00
transcript1360.19.nnic	16.00
transcript1362.19.nnic	68.00
transcript1364.19.nnic	41.00
transcript1366.19.nnic	58.00
transcript1368.19.nnic	13.00
transcript1371.19.nnic	2.00
transcript1377.19.nnic	7.00
transcript1379.19.nnic	3.00
transcript1381.19.nnic	6.00
transcript1383.19.nnic	14.00
transcript1387.19.nnic	3.00
transcript1391.19.nnic	9.00
transcript1394.19.nnic	3.00
transcript1396.19.nnic	2.00
transcript14.19.nnic	2.00
transcript1400.19.nnic	3.00
transcript1402.19.nnic	2.00
transcript1405.19.nnic	3.00
transcript1407.19.nnic	17.00
transcript141.19.nnic	42.00
transcript1410.19.nnic	18.00
transcript1412.19.nnic	8.00
transcript1415.19.nnic	2.00
transcript1417.19.nnic	8.00
transcript1424.19.nnic	5.00
transcript1426.19.nnic	5.00
transcript1431.19.nnic	3.00
transcript1436.19.nnic	2.00
transcript1440.19.nnic	3.00
transcript1447.19.nnic	3.00
transcript1449.19.nnic	3.00
transcript1451.19.nnic	93.00
transcript1454.19.nnic	7.00
transcript1457.19.nnic	2.00
transcript1462.19.nnic	9.00
transcript1468.19.nnic	3.00
transcript1473.19.nnic	18.00
transcript1475.19.nnic	2.00
transcript1477.19.nnic	3.00
transcript148.19.nnic	8.00
transcript1480.19.nnic	10.00
transcript1482.19.nnic	4.00
transcript1486.19.nnic	14.00
transcript1490.19.nnic	2.00
transcript1494.19.nnic	14.00
transcript1496.19.nnic	7.00
transcript1499.19.nnic	6.00
transcript1501.19.nnic	12.00
transcript1504.19.nnic	2.00
transcript1506.19.nnic	3.00
transcript1508.19.nnic	11.00
transcript1514.19.nnic	117.00
transcript152.19.nnic	4.00
transcript1520.19.nnic	11.00
transcript1522.19.nnic	9.00
transcript1524.19.nnic	4.00
transcript1530.19.nnic	21.00
transcript1536.19.nnic	10.00
transcript1538.19.nnic	23.00
transcript1543.19.nnic	2.00
transcript1545.19.nnic	7.00
transcript1547.19.nnic	15.00
transcript1549.19.nnic	19.00
transcript1551.19.nnic	2.00
transcript1555.19.nnic	3.00
transcript1558.19.nnic	2.00
transcript156.19.nnic	2.00
transcript1560.19.nnic	4.00
transcript1564.19.nnic	2.00
transcript1567.19.nnic	6.00
transcript1571.19.nnic	6.00
transcript1577.19.nnic	4.00
transcript158.19.nnic	5.00
transcript1581.19.nnic	2.00
transcript1583.19.nnic	39.00
transcript1585.19.nnic	12.00
transcript1589.19.nnic	9.00
transcript1591.19.nnic	3.00
transcript1594.19.nnic	17.00
transcript1598.19.nnic	5.00
transcript16.19.nnic	2.00
transcript1600.19.nnic	85.00
transcript1602.19.nnic	3.00
transcript1606.19.nnic	9.00
transcript1611.19.nnic	4.00
transcript1613.19.nnic	69.00
transcript1618.19.nnic	26.00
transcript162.19.nnic	8.00
transcript1623.19.nnic	3.00
transcript1625.19.nnic	2.00
transcript1629.19.nnic	27.00
transcript1631.19.nnic	5.00
transcript1635.19.nnic	2.00
transcript164.19.nnic	12.00
