isoform	count
ENSMUSG00000003559_TD	2
ENSMUST00000009522	175
ENSMUST00000010250	257
ENSMUST00000025570	31
ENSMUST00000025632	10
ENSMUST00000025663	3
ENSMUST00000025696	429
ENSMUST00000025729	10
ENSMUST00000025759	12
ENSMUST00000025762	8
ENSMUST00000025811	22
ENSMUST00000025827	88
ENSMUST00000025853	7
ENSMUST00000025861	4
ENSMUST00000025904	200
ENSMUST00000025915	3
ENSMUST00000025918	44
ENSMUST00000025921	6
ENSMUST00000026222	58
ENSMUST00000026227	14
ENSMUST00000026256	2
ENSMUST00000036884	21
ENSMUST00000037678	77
ENSMUST00000038379	6
ENSMUST00000044976	223
ENSMUST00000045396	8
ENSMUST00000049948	3
ENSMUST00000050148	6
ENSMUST00000050715	2
ENSMUST00000056391	4
ENSMUST00000057243	30
ENSMUST00000061856	17
ENSMUST00000062753	14
ENSMUST00000065601	5
ENSMUST00000067795	7
ENSMUST00000071423	9
ENSMUST00000076219	18
ENSMUST00000079033	5
ENSMUST00000079754	4
ENSMUST00000087556	2
ENSMUST00000087600	4
ENSMUST00000095950	26
ENSMUST00000097715	6
ENSMUST00000099353	11
ENSMUST00000102824	4
ENSMUST00000112508	106
ENSMUST00000113451	524
ENSMUST00000113502	7
ENSMUST00000118800	7
ENSMUST00000124158	2
ENSMUST00000128542	3
ENSMUST00000131070	42
ENSMUST00000140267	6
ENSMUST00000154467	8
ENSMUST00000159692	26
ENSMUST00000168445	5
ENSMUST00000169055	8
ENSMUST00000177667	1
ENSMUST00000209469	48
ENSMUST00000223934	5
ENSMUST00000224272	10
ENSMUST00000225210	4
ENSMUST00000225392	3
ENSMUST00000225529	1
ENSMUST00000226069	1
ENSMUST00000235274	27
ENSMUST00000235296	2
ENSMUST00000236200	5
ENSMUST00000236370	9
ENSMUST00000237104	5
ENSMUST00000237294	10
ENSMUST00000237301	7
ENSMUST00000237581	3
ENSMUST00000237658	3
ENSMUST00000237814	11
ENSMUST00000237840	2
general_TD	11
transcript1000	9
transcript1006	5
transcript1012	12
transcript102	26
transcript1020	2
transcript1022	2
transcript1025	24
transcript1027	2
transcript1032	15
transcript1034	18
transcript1039	2
transcript1048	29
transcript1056	3
transcript1058	73
transcript106	6
transcript1060	3
transcript1064	67
transcript1083	2
transcript1087	7
transcript1089	4
transcript1094	204
transcript1096	2
transcript1098	2
transcript1100	9
transcript1103	5
transcript1105	3
transcript112	102
transcript1130	39
transcript1137	8
transcript1142	2
transcript1144	2
transcript1147	3
transcript1152	5
transcript1157	6
transcript1163	31
transcript1170	5
transcript1172	6
transcript1175	3
transcript118	6
transcript1184	138
transcript1186	12
transcript1190	2
transcript1194	2
transcript1196	3
transcript1199	13
transcript12	3
transcript1203	4
transcript1205	5
transcript1223	2
transcript1227	2
transcript1229	6
transcript1231	5
transcript1234	5
transcript1236	4
transcript1239	2
transcript1242	4
transcript1244	68
transcript1246	3
transcript1248	2
transcript1256	142
transcript126	2
transcript1263	12
transcript1269	4
transcript1273	13
transcript128	3
transcript1281	91
transcript1285	4
transcript1294	7
transcript1301	50
transcript1303	5
transcript1306	5
transcript1310	46
transcript1312	3
transcript1314	10
transcript1316	5
transcript132	2
transcript1320	30
transcript1326	10
transcript1330	2
transcript1334	28
transcript1336	112
transcript1338	23
transcript1341	8
transcript1343	18
transcript1347	183
transcript135	59
transcript1360	16
transcript1362	68
transcript1364	41
transcript1368	13
transcript1371	2
transcript1377	7
transcript1379	3
transcript1387	3
transcript1391	9
transcript1394	3
transcript14	2
transcript1402	2
transcript1405	3
transcript1407	17
transcript141	42
transcript1410	18
transcript1412	8
transcript1415	2
transcript1424	5
transcript1426	5
transcript1431	3
transcript1436	2
transcript1447	3
transcript1449	3
transcript1451	93
transcript1454	7
transcript1457	2
transcript1462	9
transcript1473	21
transcript1475	2
transcript148	8
transcript1480	13
transcript1482	4
transcript1486	14
transcript1494	14
transcript1496	7
transcript1499	6
transcript1501	12
transcript1508	11
transcript1514	117
transcript152	4
transcript1522	9
transcript1524	4
transcript1530	21
transcript1538	23
transcript1543	2
transcript1547	15
transcript1549	19
transcript1551	2
transcript1555	3
transcript156	2
transcript1560	8
transcript1567	6
transcript1571	6
transcript1577	4
transcript158	5
transcript1581	2
transcript1583	39
transcript1585	12
transcript1591	3
transcript16	2
transcript1600	90
transcript1602	3
transcript1606	9
transcript1611	4
transcript1613	69
transcript162	8
transcript1629	27
transcript1631	5
transcript1635	2
transcript164	12
transcript1645	17
transcript1651	2
transcript1655	2
transcript1658	4
transcript166	36
transcript1661	7
transcript1667	10
transcript1672	3
transcript1674	7
transcript1677	2
transcript1679	5
transcript1686	23
transcript1688	3
transcript1693	13
transcript1698	3
transcript170	10
transcript1703	112
transcript1707	2
transcript1710	2
transcript175	43
transcript179	7
transcript182	9
transcript185	2
transcript19	5
transcript191	114
transcript194	8
transcript196	5
transcript199	37
transcript2	7
transcript208	4
transcript215	5
transcript218	4
transcript223	2
transcript232	2
transcript234	2
transcript236	3
transcript238	4
transcript242	13
transcript249	15
transcript256	4
transcript258	2
transcript26	2
transcript262	3
transcript264	27
transcript270	26
