isoform	old_count	new_count
ENSMUSG00000003559_TD	0	2
ENSMUST00000009522	0	175
ENSMUST00000010250	0	257
ENSMUST00000025570	0	31
ENSMUST00000025632	0	10
ENSMUST00000025663	0	3
ENSMUST00000025696	0	429
ENSMUST00000025729	0	10
ENSMUST00000025759	0	12
ENSMUST00000025762	0	8
ENSMUST00000025811	0	22
ENSMUST00000025827	0	88
ENSMUST00000025853	0	7
ENSMUST00000025861	0	4
ENSMUST00000025904	0	200
ENSMUST00000025915	0	3
ENSMUST00000025918	0	44
ENSMUST00000025921	0	6
ENSMUST00000026222	0	58
ENSMUST00000026227	0	14
ENSMUST00000026256	0	2
ENSMUST00000036884	0	21
ENSMUST00000037678	0	77
ENSMUST00000038379	0	6
ENSMUST00000044976	0	223
ENSMUST00000045396	0	8
ENSMUST00000049948	0	3
ENSMUST00000050148	0	6
ENSMUST00000050715	0	2
ENSMUST00000056391	0	4
ENSMUST00000057243	0	30
ENSMUST00000061856	0	17
ENSMUST00000062753	0	14
ENSMUST00000065601	0	5
ENSMUST00000067795	0	7
ENSMUST00000071423	0	9
ENSMUST00000076219	0	18
ENSMUST00000079033	0	5
ENSMUST00000079754	0	4
ENSMUST00000087556	0	2
ENSMUST00000087600	0	4
ENSMUST00000095950	0	26
ENSMUST00000097715	0	6
ENSMUST00000099353	0	11
ENSMUST00000102824	0	4
ENSMUST00000112508	0	106
ENSMUST00000113451	0	524
ENSMUST00000113502	0	7
ENSMUST00000118800	0	7
ENSMUST00000124158	0	2
ENSMUST00000128542	0	3
ENSMUST00000131070	0	42
ENSMUST00000140267	0	6
ENSMUST00000154467	0	8
ENSMUST00000159692	0	26
ENSMUST00000168445	0	5
ENSMUST00000169055	0	8
ENSMUST00000177667	0	1
ENSMUST00000209469	0	48
ENSMUST00000223934	0	5
ENSMUST00000224272	0	10
ENSMUST00000225210	0	4
ENSMUST00000225392	0	3
ENSMUST00000225529	0	1
ENSMUST00000226069	0	1
ENSMUST00000235274	0	27
ENSMUST00000235296	0	2
ENSMUST00000236200	0	5
