#feature_id	count
novel_gene_19_13	83.00
novel_gene_19_154	43.00
novel_gene_19_169	4.00
novel_gene_19_171	117.00
novel_gene_19_176	39.00
novel_gene_19_189	41.00
novel_gene_19_192	83.00
novel_gene_19_195	8.00
novel_gene_19_2	9.00
novel_gene_19_21	544.00
novel_gene_19_212	3.00
novel_gene_19_214	9.00
novel_gene_19_254	6.00
novel_gene_19_268	301.00
novel_gene_19_29	81.00
novel_gene_19_292	433.00
novel_gene_19_296	4.00
novel_gene_19_310	2296.00
novel_gene_19_316	8.00
novel_gene_19_320	5.00
novel_gene_19_59	7.00
novel_gene_19_75	37.00
novel_gene_19_92	42.00
novel_gene_19_95	13.00
novel_gene_19_97	3.00
__ambiguous	390
__no_feature	0
__not_aligned	0
