#feature_id	TPM
novel_gene_19_13	19672.908272
novel_gene_19_154	10191.988623
novel_gene_19_169	948.091965
novel_gene_19_171	27731.689974
novel_gene_19_176	9243.896658
novel_gene_19_189	9717.942640
novel_gene_19_192	19672.908272
novel_gene_19_195	1896.183930
novel_gene_19_2	2133.206921
novel_gene_19_21	128940.507229
novel_gene_19_212	711.068974
novel_gene_19_214	2133.206921
novel_gene_19_254	1422.137947
novel_gene_19_268	71343.920360
novel_gene_19_29	19198.862290
novel_gene_19_292	102630.955203
novel_gene_19_296	948.091965
novel_gene_19_310	544204.787864
novel_gene_19_316	1896.183930
novel_gene_19_320	1185.114956
novel_gene_19_59	1659.160939
novel_gene_19_75	8769.850676
novel_gene_19_92	9954.965632
novel_gene_19_95	3081.298886
novel_gene_19_97	711.068974
