#feature_id	count
transcript1.19.nnic	9.00
transcript105.19.nnic	8.00
transcript112.19.nnic	2.00
transcript114.19.nnic	3.00
transcript12.19.nnic	83.00
transcript126.19.nnic	4.00
transcript130.19.nnic	7.00
transcript138.19.nnic	3.00
transcript141.19.nnic	4.00
transcript143.19.nnic	15.00
transcript148.19.nnic	50.00
transcript153.19.nnic	5.00
transcript159.19.nnic	16.00
transcript168.19.nnic	4.00
transcript170.19.nnic	43.00
transcript175.19.nnic	39.00
transcript188.19.nnic	41.00
transcript191.19.nnic	83.00
transcript194.19.nnic	8.00
transcript20.19.nnic	544.00
transcript201.19.nnic	3.00
transcript206.19.nnic	2.00
transcript208.19.nnic	2.00
transcript211.19.nnic	3.00
transcript213.19.nnic	2.00
transcript249.19.nnic	2.00
transcript253.19.nnic	4.00
transcript267.19.nnic	301.00
transcript28.19.nnic	81.00
transcript291.19.nnic	433.00
transcript295.19.nnic	4.00
transcript301.19.nnic	1988.00
transcript304.19.nnic	244.00
transcript306.19.nnic	10.00
transcript309.19.nnic	54.00
transcript313.19.nnic	6.00
transcript315.19.nnic	2.00
transcript319.19.nnic	5.00
transcript49.19.nnic	22.00
transcript58.19.nnic	7.00
transcript74.19.nnic	15.00
transcript91.19.nnic	42.00
transcript94.19.nnic	13.00
transcript96.19.nnic	3.00
__ambiguous	390
__no_feature	10377
__not_aligned	0
