isoform	structural_category	filter_reason
PB.3796.1	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 90.0 > 59
PB.3796.2	novel_not_in_catalog	perc_A_downstream_TTS: 75.0 > 59; min_cov: 0.0 < 10
PB.3797.1	fusion	min_cov: 1.0 < 10; perc_A_downstream_TTS: 85.0 > 59
PB.3798.1	incomplete-splice_match	subcategory: 3prime_fragment; ratio_exp: 0.2298072510128551 < 0.5
PB.3799.1	incomplete-splice_match	subcategory: 5prime_fragment; ratio_exp: 0.4940301631316893 < 0.5
PB.3799.2	novel_not_in_catalog	min_cov: 3.0 < 10; perc_A_downstream_TTS: 100.0 > 59
PB.3810.5	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0654150489186816 < 0.5
PB.3813.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3814.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3814.4	novel_in_catalog	polyA_motif_found: False < True; diff_to_gene_TTS: -3097.0 < -50; min_cov: 8.0 < 10
PB.3820.5	novel_not_in_catalog	min_cov: 1.0 < 10; perc_A_downstream_TTS: 85.0 > 59
PB.3821.6	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.103084781584398 < 0.5
PB.3826.1	genic_intron	exons: 1 < 2; perc_A_downstream_TTS: 70.0 > 59; all_canonical: nan
PB.3828.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3828.2	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0168795345962429 < 0.5
PB.3838.1	incomplete-splice_match	FSM_class: C; subcategory: intron_retention; ratio_exp: 0.0526909091580885 < 0.5
PB.3841.14	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3841.15	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3841.16	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3841.21	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3841.24	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3846.1	novel_in_catalog	polyA_motif_found: False < True; diff_to_gene_TSS: -19132.0 < -50; diff_to_gene_TTS: -1227.0 < -50; min_cov: 6.0 < 10; within_CAGE_peak: False < True
PB.3848.1	novel_in_catalog	diff_to_gene_TTS: -2269.0 < -50; polyA_motif_found: False < True
PB.3851.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0600789889789478 < 0.5; subcategory: intron_retention
PB.3853.1	full-splice_match	perc_A_downstream_TTS: 85.0 > 59; dist_to_CAGE_peak: 6.0 > 0
PB.3853.2	novel_in_catalog	min_cov: 1.0 < 10; diff_to_gene_TTS: 403.0 > 50; polyA_motif_found: False < True
PB.3854.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3855.1	genic	coding: non_coding; perc_A_downstream_TTS: 85.0 > 59; exons: 1 < 2; all_canonical: nan
PB.3856.1	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 80.0 > 59; all_canonical: non_canonical
PB.3861.1	incomplete-splice_match	FSM_class: C; subcategory: intron_retention
PB.3863.4	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.3865.3	novel_not_in_catalog	perc_A_downstream_TTS: 75.0 > 59; min_cov: 0.0 < 10
PB.3870.1	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 90.0 > 59; all_canonical: non_canonical
PB.3871.1	incomplete-splice_match	FSM_class: C; subcategory: intron_retention; ratio_exp: 0.004563182743265 < 0.5
PB.3872.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0279831570117586 < 0.5
PB.3872.2	novel_in_catalog	diff_to_gene_TTS: -10828.0 < -50; min_cov: 0.0 < 10; polyA_motif_found: False < True
PB.3873.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.3873.3	full-splice_match	dist_to_CAGE_peak: -2671.0 < -50; diff_to_gene_TSS: -2765.0 < -50
PB.8633.1	genic_intron	coding: non_coding; perc_A_downstream_TTS: 85.0 > 59; exons: 1 < 2; all_canonical: nan
PB.8637.1	full-splice_match	diff_to_gene_TSS: -1016.0 < -50; perc_A_downstream_TTS: 65.0 > 59
PB.8639.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.8639.5	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.8639.8	novel_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.8640.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.1555928062636764 < 0.5
PB.8645.1	novel_in_catalog	polyA_motif_found: False < True; all_canonical: nan; diff_to_gene_TTS: -8652.0 < -50
PB.8646.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 6.661145027650119e-07 < 0.5
PB.8646.2	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0884844509242731 < 0.5; subcategory: 5prime_fragment
PB.8649.3	incomplete-splice_match	FSM_class: C; subcategory: intron_retention; ratio_exp: 0.0421294992823822 < 0.5
PB.8649.6	novel_not_in_catalog	min_cov: 2.0 < 10; perc_A_downstream_TTS: 60.0 > 59
PB.8654.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0014236478025407 < 0.5
PB.8655.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0599758411498982 < 0.5; subcategory: 3prime_fragment
PB.8655.3	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.019320820719636 < 0.5
PB.8657.1	genic	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 95.0 > 59
PB.8658.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.1646182899353316 < 0.5; subcategory: 3prime_fragment
PB.8661.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0278206403993489 < 0.5
PB.8661.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0265066811772494 < 0.5
PB.8661.4	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 80.0 > 59
PB.8662.4	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0555534785833749 < 0.5; subcategory: 3prime_fragment
PB.8666.1	full-splice_match	perc_A_downstream_TTS: 100.0 > 59
PB.8666.2	novel_in_catalog	min_cov: 0.0 < 10; polyA_motif_found: False < True; diff_to_gene_TTS: 947.0 > 50
PB.8667.1	full-splice_match	diff_to_gene_TSS: -3088.0 < -50; dist_to_CAGE_peak: -774.0 < -50
PB.8668.1	novel_in_catalog	diff_to_gene_TTS: -56393.0 < -50; polyA_motif_found: False < True; min_cov: 6.0 < 10
PB.8669.1	incomplete-splice_match	ratio_exp: 0.4050970525345482 < 0.5; subcategory: 3prime_fragment
PB.8672.1	fusion	coding: non_coding; perc_A_downstream_TTS: 85.0 > 59; min_cov: 0.0 < 10
PB.8681.2	novel_not_in_catalog	coding: non_coding; min_cov: 0.0 < 10
PB.8687.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.8688.6	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.8689.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.8689.3	full-splice_match	perc_A_downstream_TTS: 90.0 > 59; dist_to_CAGE_peak: 8.0 > 0
PB.8691.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0405117349601122 < 0.5
PB.8695.1	novel_in_catalog	within_CAGE_peak: False < True; min_cov: 2.0 < 10; diff_to_gene_TSS: 207.0 > 50
PB.8699.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.8705.1	novel_in_catalog	diff_to_gene_TTS: 403.0 > 50; polyA_motif_found: False < True; diff_to_gene_TSS: -87576.0 < -50; min_cov: 1.0 < 10; within_CAGE_peak: False < True
PB.8706.1	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 95.0 > 59; all_canonical: non_canonical
PB.8707.3	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; dist_to_CAGE_peak: 23.0 > 0
PB.8707.4	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; dist_to_CAGE_peak: 22.0 > 0
PB.8708.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.8715.3	incomplete-splice_match	FSM_class: C; subcategory: intron_retention; ratio_exp: 0.0189567296331107 < 0.5
PB.8715.5	novel_in_catalog	min_cov: 0.0 < 10; diff_to_gene_TTS: -936.0 < -50
PB.8715.6	novel_in_catalog	diff_to_gene_TTS: -936.0 < -50; min_cov: 6.0 < 10
PB.8715.8	novel_in_catalog	diff_to_gene_TSS: -33790.0 < -50; min_cov: 0.0 < 10; within_CAGE_peak: False < True
PB.8716.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.8721.2	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 100.0 > 59
PB.8723.1	novel_in_catalog	polyA_motif_found: False < True; diff_to_gene_TTS: -9142.0 < -50; min_cov: 4.0 < 10
PB.8724.1	novel_not_in_catalog	perc_A_downstream_TTS: 85.0 > 59; min_cov: 0.0 < 10
PB.8725.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.8726.3	full-splice_match	dist_to_CAGE_peak: 1.0 > 0; diff_to_gene_TSS: 174.0 > 50
PB.8728.1	genic_intron	exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 95.0 > 59
PB.8729.2	full-splice_match	dist_to_CAGE_peak: -256.0 < -50; diff_to_gene_TSS: -833.0 < -50
PB.8732.2	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0228685659268021 < 0.5; subcategory: 3prime_fragment
PB.8732.3	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 3.6033990243563816e-10 < 0.5
PB.8734.1	incomplete-splice_match	subcategory: 3prime_fragment; ratio_exp: 0.0002652610018685 < 0.5
PB.8736.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15672.2	novel_in_catalog	min_cov: 0.0 < 10; within_CAGE_peak: False < True; all_canonical: non_canonical
PB.15679.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15680.1	full-splice_match	dist_to_CAGE_peak: -377.0 < -50; diff_to_gene_TSS: -416.0 < -50
PB.15683.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15684.9	novel_in_catalog	diff_to_gene_TSS: -896.0 < -50; within_CAGE_peak: False < True
PB.15686.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15687.1	novel_in_catalog	diff_to_gene_TSS: 56.0 > 50; min_cov: 0.0 < 10
PB.15689.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15694.1	novel_in_catalog	diff_to_gene_TTS: -353.0 < -50; all_canonical: nan; polyA_motif_found: False < True; within_CAGE_peak: False < True; diff_to_gene_TSS: 70.0 > 50
PB.15696.1	novel_in_catalog	min_cov: 0.0 < 10; diff_to_gene_TSS: -117.0 < -50; within_CAGE_peak: False < True
PB.15697.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15702.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15704.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15706.1	full-splice_match	diff_to_gene_TSS: 107.0 > 50; perc_A_downstream_TTS: 95.0 > 59
PB.15708.1	incomplete-splice_match	FSM_class: C; ratio_exp: 3.545313398340233e-11 < 0.5; subcategory: 3prime_fragment
PB.15715.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 5.685531075585199e-09 < 0.5
PB.15718.1	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 100.0 > 59; all_canonical: non_canonical
PB.15718.2	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 65.0 > 59
PB.15722.1	incomplete-splice_match	FSM_class: C; subcategory: mono-exon; all_canonical: nan
PB.15725.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15728.1	novel_in_catalog	min_cov: 1.0 < 10; polyA_motif_found: False < True; diff_to_gene_TTS: 248.0 > 50
PB.15728.2	novel_in_catalog	min_cov: 0.0 < 10; polyA_motif_found: False < True; diff_to_gene_TTS: 198.0 > 50
PB.15728.4	novel_in_catalog	diff_to_gene_TTS: 250.0 > 50; min_cov: 0.0 < 10; polyA_motif_found: False < True
PB.15730.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15737.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15740.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15743.1	genic_intron	perc_A_downstream_TTS: 85.0 > 59; exons: 1 < 2; all_canonical: nan
PB.15744.1	novel_not_in_catalog	coding: non_coding; min_cov: 0.0 < 10
PB.15747.3	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 70.0 > 59; all_canonical: non_canonical
PB.15747.4	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 70.0 > 59
PB.15747.5	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 70.0 > 59
PB.15750.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15754.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.15755.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 95.0 > 59
PB.15760.1	novel_in_catalog	polyA_motif_found: False < True; diff_to_gene_TSS: -192.0 < -50; diff_to_gene_TTS: -13345.0 < -50
PB.15765.1	incomplete-splice_match	FSM_class: C; ratio_exp: 4.578626160367023e-07 < 0.5; subcategory: 3prime_fragment
PB.15767.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0546532968277795 < 0.5
PB.15767.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15768.3	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 90.0 > 59
PB.15770.1	novel_not_in_catalog	perc_A_downstream_TTS: 85.0 > 59; min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15772.2	full-splice_match	dist_to_CAGE_peak: 2.0 > 0; diff_to_gene_TSS: -62.0 < -50
PB.15774.3	novel_not_in_catalog	min_cov: 0.0 < 10; perc_A_downstream_TTS: 100.0 > 59
PB.15775.1	novel_not_in_catalog	perc_A_downstream_TTS: 85.0 > 59
PB.15780.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15784.1	novel_in_catalog	diff_to_gene_TTS: -471.0 < -50; min_cov: 6.0 < 10
PB.15785.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0222904584569666 < 0.5; subcategory: 3prime_fragment
PB.15787.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15791.1	novel_in_catalog	min_cov: 1.0 < 10; diff_to_gene_TTS: -5259.0 < -50
PB.15792.1	incomplete-splice_match	FSM_class: C; ratio_exp: 3.677429919705806e-08 < 0.5; subcategory: 3prime_fragment
PB.15793.1	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0611039780796763 < 0.5
PB.15796.1	genic_intron	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 95.0 > 59
PB.15798.2	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15802.1	genic	coding: non_coding; exons: 1 < 2; all_canonical: nan; perc_A_downstream_TTS: 90.0 > 59
PB.15804.2	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15805.1	novel_not_in_catalog	coding: non_coding; min_cov: 0.0 < 10
PB.15806.1	incomplete-splice_match	FSM_class: C; ratio_exp: 0.0522328229054998 < 0.5; subcategory: 3prime_fragment
PB.15808.1	novel_not_in_catalog	min_cov: 0.0 < 10; all_canonical: non_canonical
PB.15808.2	novel_in_catalog	polyA_motif_found: False < True; all_canonical: nan; diff_to_gene_TTS: -9194.0 < -50
PB.15810.1	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment; ratio_exp: 0.0 < 0.5
PB.15814.2	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment; ratio_exp: 0.0762932304361232 < 0.5
PB.15814.3	novel_not_in_catalog	perc_A_downstream_TTS: 85.0 > 59; min_cov: 0.0 < 10
