isoform	structural_category	filter_reason
ENSMUST00000025921	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENSMUST00000035822	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000039016	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000041163	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000044976	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000047645	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000047666	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; within_CAGE_peak: False < True
ENSMUST00000059672	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000062389	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000067795	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000073581	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000075856	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000081236	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; within_CAGE_peak: False < True
ENSMUST00000082466	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000082712	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000082931	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000083007	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000083209	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000083270	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000087473	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000095978	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 95.0 > 59
ENSMUST00000096119	full-splice_match	perc_A_downstream_TTS: 90.0 > 59; within_CAGE_peak: False < True
ENSMUST00000099558	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000099569	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000104916	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000111526	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000111646	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENSMUST00000111653	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000111654	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000111657	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000111737	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000112552	full-splice_match	perc_A_downstream_TTS: 90.0 > 59; within_CAGE_peak: False < True
ENSMUST00000113383	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000113461	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000113502	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000113674	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENSMUST00000123758	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000124012	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000124483	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000125232	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000125411	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000126188	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000126908	full-splice_match	perc_A_downstream_TTS: 90.0 > 59
ENSMUST00000127198	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; within_CAGE_peak: False < True
ENSMUST00000127233	full-splice_match	perc_A_downstream_TTS: 90.0 > 59; within_CAGE_peak: False < True
ENSMUST00000128272	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000128949	full-splice_match	perc_A_downstream_TTS: 70.0 > 59; within_CAGE_peak: False < True
ENSMUST00000128987	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000131032	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000131882	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000132851	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000133222	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000134518	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000134568	full-splice_match	perc_A_downstream_TTS: 90.0 > 59; within_CAGE_peak: False < True
ENSMUST00000135018	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000135586	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000135827	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000136286	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000136465	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000136756	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000137368	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000137465	full-splice_match	perc_A_downstream_TTS: 90.0 > 59; within_CAGE_peak: False < True
ENSMUST00000138317	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000138917	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000140014	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; within_CAGE_peak: False < True
ENSMUST00000141771	full-splice_match	perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000142135	full-splice_match	perc_A_downstream_TTS: 75.0 > 59; within_CAGE_peak: False < True
ENSMUST00000143264	full-splice_match	perc_A_downstream_TTS: 80.0 > 59
ENSMUST00000144135	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 85.0 > 59
ENSMUST00000144422	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000145160	full-splice_match	within_CAGE_peak: False < True; perc_A_downstream_TTS: 60.0 > 59
ENSMUST00000147049	full-splice_match	perc_A_downstream_TTS: 70.0 > 59
ENSMUST00000147907	full-splice_match	perc_A_downstream_TTS: 75.0 > 59
ENSMUST00000148105	full-splice_match	perc_A_downstream_TTS: 65.0 > 59
ENSMUST00000149629	full-splice_match	perc_A_downstream_TTS: 85.0 > 59
