/home/pabloati/miniforge3/envs/sqanti3/bin/psauron -i /media/pabloati/HDD1/pablo/sqanti/courses-SQANTI_verse/results/03_QC_with_orthogonal/TD2/longest_orfs.cds -o /media/pabloati/HDD1/pablo/sqanti/courses-SQANTI_verse/results/03_QC_with_orthogonal/TD2/psauron_score.csv -m 0 --inframe 0.5 -s
psauron score: 63.1
description,psauron_is_protein,in-frame_score
transcript2.p1,True,0.9738
transcript2.p2,True,0.98017
transcript4.p1,True,0.95636
transcript4.p2,True,0.96037
transcript7.p1,True,0.96001
transcript7.p2,True,0.96037
transcript14.p1,False,0.19704
transcript14.p2,True,0.99428
transcript14.p3,False,0.01302
transcript14.p4,False,0.01947
transcript14.p5,False,0.00486
transcript12.p1,False,0.00486
transcript12.p2,False,0.19704
transcript12.p3,True,0.99428
transcript12.p4,False,0.01302
transcript12.p5,False,0.01947
transcript16.p1,False,0.00486
transcript16.p2,False,0.19704
transcript16.p3,True,0.99453
transcript16.p4,False,0.01302
transcript16.p5,False,0.01947
transcript19.p1,False,0.1111
transcript19.p2,True,0.99479
transcript19.p3,True,0.99522
transcript19.p4,False,0.00363
transcript26.p1,True,0.99474
transcript39.p1,True,0.9797
transcript39.p2,False,0.00572
transcript39.p3,False,0.05737
transcript41.p1,False,0.07993
transcript41.p2,True,0.93538
transcript32.p1,False,0.07993
transcript32.p2,True,0.93032
transcript32.p3,True,0.99193
transcript32.p4,False,0.00572
transcript32.p5,False,0.05737
transcript36.p1,False,0.07993
transcript36.p2,True,0.9836
transcript36.p3,False,0.00572
transcript36.p4,False,0.05737
transcript34.p1,False,0.00572
transcript34.p2,False,0.05737
transcript34.p3,False,0.0774
transcript34.p4,True,0.93032
transcript34.p5,True,0.99193
transcript44.p1,True,0.99883
transcript44.p2,True,0.97229
transcript44.p3,True,0.73866
transcript44.p4,False,0.00017
transcript47.p1,True,0.99278
transcript50.p1,True,0.99278
transcript52.p1,True,0.9859
transcript54.p1,True,0.99631
transcript54.p2,True,0.99466
transcript56.p1,False,1e-05
transcript56.p2,False,0.0011
transcript56.p3,True,0.99018
transcript56.p4,True,0.99102
transcript56.p5,False,0.46186
transcript70.p1,True,0.99408
transcript70.p2,False,0.00014
transcript64.p1,True,0.98565
transcript64.p2,True,0.99408
transcript64.p3,True,0.51695
transcript64.p4,False,0.00014
transcript64.p5,False,0.35645
transcript64.p6,False,0.01238
transcript77.p1,True,0.99751
transcript83.p1,True,0.99949
transcript87.p1,True,0.99961
transcript90.p1,False,0.00572
transcript90.p2,False,0.02436
transcript90.p3,True,0.97874
transcript90.p4,True,0.97994
transcript92.p1,True,0.99145
transcript92.p2,True,0.99164
transcript94.p1,True,0.92609
transcript97.p1,True,0.96089
transcript102.p1,True,0.99863
transcript102.p2,True,0.9989
transcript106.p1,True,0.99378
transcript106.p2,False,0.37133
transcript112.p1,False,0.00042
transcript112.p2,True,0.94245
transcript112.p3,True,0.92913
transcript118.p1,False,1e-05
