isoform	structural_category	filter_reason
PB.3796.1	novel_not_in_catalog	perc_A_downstream_TTS: 90.0 > 59
PB.3796.2	novel_not_in_catalog	perc_A_downstream_TTS: 75.0 > 59; RTS_stage: True
PB.3797.1	fusion	perc_A_downstream_TTS: 85.0 > 59
PB.3798.1	incomplete-splice_match	subcategory: 3prime_fragment
PB.3799.1	incomplete-splice_match	subcategory: 5prime_fragment
PB.3799.2	novel_not_in_catalog	perc_A_downstream_TTS: 100.0 > 59; RTS_stage: True
PB.3810.4	full-splice_match	diff_to_gene_TSS: -29.0 < 0
PB.3810.5	incomplete-splice_match	FSM_class: C; subcategory: 3prime_fragment
PB.3813.1	novel_not_in_catalog	all_canonical: non_canonical
PB.3814.2	novel_not_in_catalog	all_canonical: non_canonical
PB.3814.4	novel_in_catalog	diff_to_gene_TTS: -3097.0 < -50
PB.3820.5	novel_not_in_catalog	perc_A_downstream_TTS: 85.0 > 59
PB.3821.2	full-splice_match	diff_to_gene_TSS: -1.0 < 0
PB.3821.6	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment
PB.3822.1	full-splice_match	diff_to_gene_TSS: -17.0 < 0
PB.3826.1	genic_intron	exons: 1 < 2; perc_A_downstream_TTS: 70.0 > 59; all_canonical: nan
PB.3828.1	novel_not_in_catalog	all_canonical: non_canonical
PB.3828.2	incomplete-splice_match	FSM_class: C; subcategory: 5prime_fragment
PB.3831.4	full-splice_match	diff_to_gene_TSS: -6.0 < 0
PB.3831.5	full-splice_match	diff_to_gene_TSS: -8.0 < 0
PB.3835.1	novel_not_in_catalog	RTS_stage: True
PB.3836.1	full-splice_match	diff_to_gene_TSS: -3.0 < 0
PB.3836.3	full-splice_match	diff_to_gene_TSS: -15.0 < 0
PB.3838.1	incomplete-splice_match	FSM_class: C; subcategory: intron_retention
PB.3841.11	novel_not_in_catalog	RTS_stage: True
PB.3841.12	novel_not_in_catalog	RTS_stage: True
PB.3841.14	novel_not_in_catalog	all_canonical: non_canonical; RTS_stage: True
