target_id	length	eff_length	est_counts	tpm
transcript2	813	527.275	130	2128.18
transcript4	4357	4071.26	253.123	536.666
transcript7	4351	4065.26	163.877	347.961
transcript14	4797	4511.26	52.4834	100.421
transcript12	4957	4671.26	98.5166	182.044
transcript16	4843	4557.26	0	0
transcript19	5169	4883.26	31	54.7965
transcript26	2881	2595.26	17.7203	58.9374
transcript39	2572	2286.26	34.4283	129.984
transcript41	3557	3271.26	8.92679	23.5549
transcript32	2732	2446.26	40.8596	144.176
transcript36	2567	2281.26	0	0
transcript34	2625	2339.26	0	0
transcript44	3114	2828.26	28	85.4554
transcript47	1001	715.262	163.634	1974.73
transcript50	829	543.275	811.366	12891.4
transcript52	903	617.275	0	0
transcript54	1888	1602.26	25	134.681
transcript56	2229	1943.26	32	142.141
transcript70	1496	1210.26	4050.6	28889.6
transcript64	2495	2209.26	1016.52	3971.64
transcript77	1585	1299.26	1236	8211.51
transcript83	811	525.275	745	12242.5
transcript87	916	630.275	136	1862.56
transcript90	4181	3895.26	19	42.1035
transcript92	1945	1659.26	218	1134.08
transcript94	1504	1218.26	85.8724	608.435
transcript97	1459	1173.26	208.128	1531.21
transcript102	1879	1593.26	326	1766.17
transcript106	1757	1471.26	64	375.484
transcript112	1411	1125.26	1463	11222.6
transcript118	2740	2454.26	37	130.131
transcript126	1141	855.262	76	767.036
transcript128	2825	2539.26	45.6287	155.107
transcript132	1170	884.262	18	175.709
transcript135	4253	3967.26	83.533	181.747
transcript141	4190	3904.26	976.467	2158.84
transcript148	1437	1151.26	108	809.75
transcript152	1822	1536.26	35.9194	201.821
transcript156	2591	2305.26	11.4954	43.0431
transcript158	2469	2183.26	62.5852	247.438
transcript162	3144	2858.26	26	78.5186
transcript164	1041	755.262	418	4777.27
transcript166	1944	1658.26	143	744.362
transcript170	2548	2262.26	52	198.409
transcript175	2683	2397.26	104	374.472
transcript179	2871	2585.26	371	1238.71
transcript182	1390	1104.26	100	781.68
transcript185	2594	2308.26	8	29.9162
transcript187	1604	1318.26	295	1931.62
transcript191	1892	1606.26	608	3267.3
transcript194	2904	2618.26	19.6159	64.669
transcript196	2952	2666.26	29.3841	95.1285
transcript199	3211	2925.26	172	507.534
transcript204	1002	716.262	198	2386.13
transcript202	2622	2336.26	107.057	395.543
transcript208	2534	2248.26	46	176.609
transcript210	801	515.275	81	1356.9
transcript212	797	511.275	577	9741.43
transcript215	1209	923.262	114	1065.81
transcript218	2023	1737.26	27	134.153
transcript221	2323	2037.26	562	2381.17
transcript223	1642	1356.26	9	57.2796
transcript228	2011	1725.26	13	65.0414
transcript232	623	337.349	156	3991.59
transcript236	2063	1777.26	0	0
transcript234	1989	1703.26	33.9202	171.901
transcript238	1833	1547.26	44.0798	245.91
transcript242	2721	2435.26	27	95.7016
transcript249	3774	3488.26	53	131.15
transcript258	1218	932.262	6.72156	62.2348
transcript256	1217	931.262	57.2784	530.91
transcript264	2764	2478.26	108.228	376.958
transcript262	2604	2318.26	36.7723	136.918
transcript273	2868	2582.26	12.3109	41.152
transcript275	3034	2748.26	621.689	1952.61
transcript270	2966	2680.26	68	218.994
transcript278	2470	2184.26	106	418.892
transcript283	2409	2123.26	68	276.444
transcript286	423	139.868	27	1666.27
transcript289	3452	3166.26	40	109.047
transcript293	1722	1436.26	160	961.585
transcript295	547	261.461	320.372	10576.7
transcript297	585	299.391	24.6284	710.067
transcript299	1479	1193.26	56	405.092
transcript301	2517	2231.26	43.7143	169.112
transcript303	2581	2295.26	0	0
transcript305	859	573.275	34.2857	516.24
transcript307	1335	1049.26	19.9861	164.417
transcript309	1273	987.262	31.0139	271.16
transcript311	1325	1039.26	35	290.7
transcript314	896	610.275	149.572	2115.56
transcript316	2314	2028.26	7.4281	31.6122
transcript318	2726	2440.26	60	212.235
transcript322	3363	3077.26	234	656.376
transcript326	2651	2365.26	45.9813	167.804
transcript331	2984	2698.26	7.01869	22.4529
transcript334	4633	4347.26	49	97.293
transcript339	3293	3007.26	40.5481	116.386
transcript341	2656	2370.26	72.4519	263.849
transcript357	5520	5234.26	3120.44	5145.91
transcript353	1725	1439.26	2963.92	17775.8
transcript376	3146	2860.26	62	187.106
transcript383	1582	1296.26	8711.43	58009.3
transcript388	991	705.262	46.5741	570.027
transcript380	2159	1873.26	674	3105.72
transcript393	1393	1107.26	57	444.351
transcript396	1394	1108.26	68.3954	532.703
transcript398	890	604.275	141.605	2022.76
transcript400	4246	3960.26	50	108.98
transcript405	776	490.275	341	6003.66
transcript408	1197	911.262	112	1060.9
transcript410	998	712.262	54	654.418
transcript413	2176	1890.26	199	908.725
transcript415	1253	967.262	105	937.015
transcript418	1678	1392.26	315	1952.95
transcript420	531	245.504	2550	89656.7
transcript426	3328	3042.26	0	0
transcript423	3250	2964.26	51	148.51
transcript429	2945	2659.26	51	165.543
transcript436	2868	2582.26	1106	3697.06
transcript438	7442	7156.26	173.648	209.452
transcript440	1741	1455.26	114	676.184
transcript444	2424	2138.26	317	1279.67
transcript449	4173	3887.26	49.107	109.044
transcript447	2823	2537.26	33.893	115.304
transcript459	2286	2000.26	825.253	3561.24
transcript473	1962	1676.26	81.5222	419.793
transcript475	1967	1681.26	73.37	376.69
transcript496	2275	1989.26	887.481	3850.95
transcript508	1960	1674.26	32.8608	169.416
transcript510	2621	2335.26	77.5133	286.512
transcript517	3305	3019.26	465.857	1331.84
transcript524	4073	3787.26	1538	3505.36
transcript536	1893	1607.26	308.694	1657.84
transcript532	2134	1848.26	9.30646	43.4633
transcript539	1222	936.262	61	562.385
transcript542	1818	1532.26	75.3525	424.489
transcript545	2096	1810.26	24.6475	117.526
transcript548	1427	1141.26	287	2170.69
transcript552	893	607.275	180	2558.52
transcript561	3523	3237.26	27.4344	73.1508
transcript556	3508	3222.26	29.1607	78.1157
transcript558	3287	3001.26	16.5841	47.6969
transcript563	1972	1686.26	28.1284	143.986
transcript566	1376	1090.26	114.872	909.459
transcript569	1282	996.262	82.2663	712.77
transcript571	1112	826.262	453.734	4740.07
transcript574	2316	2030.26	90.459	384.592
transcript576	2515	2229.26	80.7493	312.665
transcript578	3268	2982.26	22	63.6763
transcript582	3765	3479.26	147.614	366.22
transcript580	3937	3651.26	112.386	265.687
transcript584	1493	1207.26	207.405	1482.93
transcript586	1327	1041.26	18.5946	154.144
transcript589	3785	3499.26	48	118.404
transcript591	3132	2846.26	104	315.399
transcript594	2760	2474.26	26	90.7045
transcript596	1836	1550.26	565	3145.9
transcript600	5620	5334.26	45	72.8181
transcript602	4084	3798.26	18.0681	41.0609
transcript605	893	607.275	18472	262561
transcript608	2335	2049.26	63.429	267.173
transcript611	5039	4753.26	0	0
transcript613	4899	4613.26	12.7832	23.9184
transcript615	3261	2975.26	1.78778	5.18668
transcript617	3585	3299.26	431	1127.62
transcript625	2182	1896.26	47.4587	216.032
transcript627	2214	1928.26	53.5955	239.919
transcript621	3116	2830.26	217.946	664.696
transcript631	3470	3184.26	109.802	297.647
transcript633	3325	3039.26	56.1498	159.471
transcript636	4322	4036.26	4.04841	8.65777
transcript638	403	121.501	144	10230.2
transcript650	3224	2938.26	115.871	340.396
transcript653	1764	1478.26	102.129	596.35
transcript642	3575	3289.26	82	215.187
transcript668	2888	2602.26	19.5545	64.863
transcript670	3043	2757.26	17.7888	55.689
transcript673	2950	2664.26	0	0
transcript664	2383	2097.26	395.555	1628
transcript660	2750	2464.26	11.445	40.0896
transcript675	4232	3946.26	423	925.243
transcript678	3533	3247.26	14	37.2145
transcript680	2603	2317.26	15.276	56.9031
transcript682	2675	2389.26	42.724	154.351
transcript686	3489	3203.26	15	40.4203
transcript689	1936	1650.26	124	648.59
transcript692	2215	1929.26	13.8545	61.9871
transcript694	2158	1872.26	152.145	701.445
transcript698	2090	1804.26	27	129.171
transcript701	1261	975.262	15	132.761
transcript708	2699	2413.26	312	1115.97
transcript706	2796	2510.26	214	735.861
transcript712	4053	3767.26	31	71.0292
transcript715	4294	4008.26	25.0551	53.9562
transcript717	2029	1743.26	12.9449	64.0969
transcript721	2155	1869.26	15	69.2664
transcript732	4718	4432.26	1300.15	2532.04
transcript727	3268	2982.26	1473.06	4263.59
transcript742	430	146.405	6.04987	356.689
transcript751	3875	3589.26	8041.74	19339.5
transcript771	1818	1532.26	89.2806	502.951
transcript767	2254	1968.26	23.5922	103.463
transcript769	2120	1834.26	279.127	1313.54
transcript774	4132	3846.26	10.62	23.8335
transcript778	3333	3047.26	39	110.473
transcript808	4723	4437.26	1960.54	3813.83
transcript806	4751	4465.26	346.145	669.133
transcript789	4851	4565.26	68.3167	129.17
transcript814	2506	2220.26	650.179	2527.72
transcript817	3401	3115.26	6	16.6249
transcript821	3470	3184.26	2	5.42154
transcript823	2797	2511.26	359.815	1236.77
transcript831	1972	1686.26	295.74	1513.86
transcript835	3352	3066.26	82	230.837
transcript839	1780	1494.26	60	346.598
transcript841	2908	2622.26	13	42.7926
transcript844	1401	1115.26	48	371.506
transcript847	2069	1783.26	52	251.704
transcript853	2500	2214.26	99.8978	389.429
transcript855	2996	2710.26	78.1432	248.875
transcript850	4342	4056.26	49.959	106.314
transcript858	4361	4075.26	24	50.8343
transcript862	1321	1035.26	32.1948	268.434
transcript860	1567	1281.26	57.8052	389.431
transcript866	2448	2162.26	186	742.516
transcript868	5243	4957.26	0	0
transcript870	6236	5950.26	41	59.477
transcript880	3133	2847.26	211	639.67
transcript884	5275	4989.26	22.8511	39.5341
transcript882	5397	5111.26	9.14889	15.4505
transcript890	2184	1898.26	6	27.2833
