artifact	assigned_transcript	rescue_mode	origin	reintroduced
transcript41	ENSMUST00000154467	automatic	reference	yes
transcript94	ENSMUST00000140267	automatic	reference	yes
transcript97	ENSMUST00000169055	automatic	reference	yes
transcript187	ENSMUST00000025811	automatic	reference	yes
transcript202	ENSMUST00000025759	automatic	reference	yes
transcript204	ENSMUST00000025762	automatic	reference	yes
transcript212	ENSMUST00000025853	automatic	reference	yes
transcript221	ENSMUST00000209469	automatic	reference	yes
transcript297	ENSMUST00000237840	automatic	reference	yes
transcript326	ENSMUST00000113502	automatic	reference	yes
transcript331	ENSMUST00000056391	automatic	reference	yes
transcript357	ENSMUST00000113451	automatic	reference	yes
transcript383	ENSMUST00000025904	automatic	reference	yes
transcript408	ENSMUST00000025915	automatic	reference	yes
transcript413	ENSMUST00000025918	automatic	reference	yes
transcript429	ENSMUST00000025921	automatic	reference	yes
transcript524	ENSMUST00000010250	automatic	reference	yes
transcript582	ENSMUST00000235274	automatic	reference	yes
transcript589	ENSMUST00000224272	automatic	reference	yes
transcript602	ENSMUST00000049948	automatic	reference	yes
transcript650	ENSMUST00000025570	automatic	reference	yes
transcript664	ENSMUST00000037678	automatic	reference	yes
transcript668	ENSMUST00000237581	automatic	reference	yes
transcript670	ENSMUST00000237814	automatic	reference	yes
transcript673	ENSMUST00000168445	automatic	reference	yes
transcript732	ENSMUST00000044976	automatic	reference	yes
transcript817	ENSMUST00000050715	automatic	reference	yes
transcript835	ENSMUST00000025632	automatic	reference	yes
transcript839	ENSMUST00000062753	automatic	reference	yes
transcript858	ENSMUST00000087600	automatic	reference	yes
transcript868	ENSMUST00000025663	automatic	reference	yes
transcript880	ENSMUST00000036884	automatic	reference	yes
transcript884	ENSMUST00000223934	automatic	reference	yes
transcript898	ENSMUST00000057243	automatic	reference	yes
transcript947	ENSMUST00000076219	automatic	reference	yes
transcript968	ENSMUST00000050148	automatic	reference	yes
transcript972	ENSMUST00000225210	automatic	reference	yes
transcript976	ENSMUST00000025696	automatic	reference	yes
transcript990	ENSMUST00000159692	automatic	reference	yes
transcript994	ENSMUST00000236200	automatic	reference	yes
transcript1041	ENSMUST00000025827	automatic	reference	yes
transcript1068	ENSMUST00000112508	automatic	reference	yes
transcript1107	ENSMUST00000102824	automatic	reference	yes
transcript1124	ENSMUST00000009522	automatic	reference	yes
transcript1149	ENSMUST00000025729	automatic	reference	yes
transcript1177	ENSMUST00000131070	automatic	reference	yes
transcript1250	ENSMUST00000067795	automatic	reference	yes
transcript1358	ENSMUST00000079033	automatic	reference	yes
transcript1366	ENSMUST00000026222	automatic	reference	yes
transcript1381	ENSMUST00000097715	automatic	reference	yes
transcript1383	ENSMUST00000026227	automatic	reference	yes
transcript1396	ENSMUST00000065601	automatic	reference	yes
transcript1417	ENSMUST00000045396	automatic	reference	yes
transcript1504	ENSMUST00000235296	automatic	reference	yes
transcript1506	ENSMUST00000237658	automatic	reference	yes
transcript1520	ENSMUST00000099353	automatic	reference	yes
transcript1536	ENSMUST00000237294	automatic	reference	yes
transcript1545	ENSMUST00000237301	automatic	reference	yes
transcript1589	ENSMUST00000236370	automatic	reference	yes
transcript1594	ENSMUST00000061856	automatic	reference	yes
transcript1618	ENSMUST00000095950	automatic	reference	yes
transcript1623	ENSMUST00000225392	automatic	reference	yes
transcript1640	ENSMUST00000071423	automatic	reference	yes
transcript1648	ENSMUST00000118800	automatic	reference	yes
transcript1014	ENSMUST00000237104	rules_mapping	reference	yes
transcript1016	ENSMUST00000237104	rules_mapping	reference	no
transcript1029	transcript1032	rules_mapping	lr_defined	no
transcript1046	transcript1048	rules_mapping	lr_defined	no
transcript1113	ENSMUST00000009522	rules_mapping	reference	no
transcript1155	transcript1157	rules_mapping	lr_defined	no
transcript1160	ENSMUST00000079754	rules_mapping	reference	yes
transcript1165	ENSMUST00000124158	rules_mapping	reference	yes
transcript1165	ENSMUST00000079754	rules_mapping	reference	no
transcript1400	ENSMUST00000065601	rules_mapping	reference	no
transcript1440	ENSMUST00000026256	rules_mapping	reference	yes
transcript1440	ENSMUST00000177667	rules_mapping	reference	yes
transcript1468	transcript1473	rules_mapping	lr_defined	no
transcript1477	transcript1480	rules_mapping	lr_defined	no
transcript1558	transcript1560	rules_mapping	lr_defined	no
transcript1564	transcript1560	rules_mapping	lr_defined	no
transcript1598	transcript1600	rules_mapping	lr_defined	no
transcript1625	ENSMUST00000225529	rules_mapping	reference	yes
transcript1625	ENSMUST00000226069	rules_mapping	reference	yes
transcript210	ENSMUST00000128542	rules_mapping	reference	yes
transcript228	ENSMUST00000025861	rules_mapping	reference	yes
transcript353	ENSMUST00000113451	rules_mapping	reference	no
transcript473	transcript459	rules_mapping	lr_defined	no
transcript475	transcript459	rules_mapping	lr_defined	no
transcript574	transcript576	rules_mapping	lr_defined	no
transcript615	transcript613	rules_mapping	lr_defined	no
transcript615	transcript611	rules_mapping	lr_defined	no
transcript642	ENSMUST00000038379	rules_mapping	reference	yes
transcript855	transcript850	rules_mapping	lr_defined	no
transcript882	ENSMUST00000087556	rules_mapping	reference	yes
transcript935	transcript943	rules_mapping	lr_defined	no
transcript960	transcript966	rules_mapping	lr_defined	no
transcript962	ENSMUST00000050148	rules_mapping	reference	no
transcript974	transcript964	rules_mapping	lr_defined	no
