rescue_candidate	mapping_hit	alignment_type	alignment_score
transcript210	ENSMUST00000128542	0	801
transcript210	ENSMUST00000174754	256	783
transcript210	ENSMUST00000174412	256	756
transcript210	ENSMUST00000311378	256	726
transcript210	ENSMUST00000311376	256	735
transcript210	ENSMUST00000311375	256	587
transcript228	ENSMUST00000025861	0	1554
transcript228	ENSMUST00000238060	2048	671
transcript353	ENSMUST00000113451	0	1531
transcript473	transcript459	0	1612
transcript473	ENSMUST00000065651	256	1330
transcript475	transcript459	0	1611
transcript475	ENSMUST00000065651	256	1491
transcript574	transcript576	0	2091
transcript615	ENSMUST00000113161	0	3064
transcript615	ENSMUST00000238672	256	3064
transcript615	transcript613	256	3064
transcript615	transcript611	256	3064
transcript642	ENSMUST00000038379	0	3420
transcript642	ENSMUST00000236206	256	3077
transcript855	transcript850	0	2186
transcript855	ENSMUST00000237651	256	2153
transcript855	transcript853	256	1952
transcript882	ENSMUST00000087556	0	5274
transcript935	ENSMUST00000172302	0	3228
transcript935	transcript943	256	3228
transcript935	transcript937	256	3227
transcript935	ENSMUST00000167487	256	3118
transcript935	transcript939	256	3118
transcript935	ENSMUST00000025866	256	3072
transcript974	ENSMUST00000225310	0	3390
transcript974	transcript964	256	3390
transcript974	ENSMUST00000225210	256	2397
transcript960	ENSMUST00000050148	0	2363
transcript960	transcript966	256	2383
transcript962	ENSMUST00000050148	0	3465
transcript1014	ENSMUST00000237104	0	5434
transcript1014	ENSMUST00000236504	256	4702
transcript1014	ENSMUST00000096119	256	4618
transcript1016	ENSMUST00000237104	0	4903
transcript1016	ENSMUST00000096119	256	4668
transcript1016	ENSMUST00000236504	256	4610
transcript1029	transcript1022	0	3316
transcript1029	transcript1032	256	3368
transcript1029	ENSMUST00000099514	256	3296
transcript1029	transcript1027	256	3296
transcript1029	transcript1025	256	3296
transcript1029	transcript1020	256	3204
transcript1046	transcript1048	0	3452
transcript1046	ENSMUST00000025833	256	3452
transcript1046	ENSMUST00000236290	256	3400
transcript1113	ENSMUST00000009522	0	3966
transcript1155	transcript1157	0	3524
transcript1165	ENSMUST00000124158	0	3616
transcript1165	ENSMUST00000136286	256	3616
transcript1165	ENSMUST00000154376	256	3616
transcript1165	ENSMUST00000079754	256	3616
transcript1160	ENSMUST00000126188	0	3910
transcript1160	ENSMUST00000154376	256	3815
transcript1160	ENSMUST00000079754	256	3815
transcript1160	ENSMUST00000136286	256	3785
transcript1400	ENSMUST00000065601	0	2661
transcript1440	ENSMUST00000026256	0	850
transcript1440	ENSMUST00000177667	256	850
transcript1468	transcript1473	0	3789
transcript1468	ENSMUST00000099376	256	3783
transcript1468	transcript1475	256	3651
transcript1468	transcript1480	256	3667
transcript1468	ENSMUST00000138302	256	3667
transcript1468	ENSMUST00000132202	256	3583
transcript1477	transcript1480	0	3741
transcript1477	ENSMUST00000138302	256	3741
transcript1477	transcript1473	256	3667
transcript1477	ENSMUST00000132202	256	3600
transcript1477	ENSMUST00000099376	256	3686
transcript1477	transcript1475	256	3586
transcript1558	transcript1560	0	2170
transcript1558	ENSMUST00000003870	256	2170
transcript1558	ENSMUST00000025998	256	2170
transcript1558	ENSMUST00000111737	256	2032
transcript1564	ENSMUST00000025998	0	2037
transcript1564	transcript1560	256	2037
transcript1564	ENSMUST00000003870	256	2037
transcript1564	ENSMUST00000111737	256	1899
transcript1598	transcript1600	0	2354
transcript1598	ENSMUST00000043150	256	2354
transcript1625	ENSMUST00000225529	0	218
transcript1625	ENSMUST00000226069	256	218
transcript1625	ENSMUST00000225392	256	212
